"metric" "n_bands" "simulation" "n" "method" "value"
"cv.time.sys.child" "7" "2" "45" "LASSO" 1e-04
"n.cv.par" "7" "2" "45" "LASSO" 1e-04
"lambda" "1" "3" "45" "LASSO" 1e-04
"lambdar0" "1" "3" "45" "LASSO" 1e-04
"kappa" "1" "3" "45" "LASSO" 1e-04
"condnum" "1" "3" "45" "LASSO" 1e-04
"EL" "1" "3" "45" "LASSO" 1e-04
"RMSE" "1" "3" "45" "LASSO" 1e-04
"F1" "1" "3" "45" "LASSO" 1e-04
"eTPR" "1" "3" "45" "LASSO" 1e-04
"eTNR" "1" "3" "45" "LASSO" 1e-04
"ePPV" "1" "3" "45" "LASSO" 1e-04
"d" "1" "3" "45" "LASSO" 1e-04
"iters" "1" "3" "45" "LASSO" 1e-04
"time.user.self" "1" "3" "45" "LASSO" 1e-04
"time.sys.self" "1" "3" "45" "LASSO" 1e-04
"time.elapsed" "1" "3" "45" "LASSO" 1e-04
"time.user.child" "1" "3" "45" "LASSO" 1e-04
"time.sys.child" "1" "3" "45" "LASSO" 1e-04
"cv.iters" "1" "3" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "3" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "3" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "3" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "3" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "3" "45" "LASSO" 1e-04
"n.cv.par" "1" "3" "45" "LASSO" 1e-04
"lambda" "7" "3" "45" "LASSO" 1e-04
"lambdar0" "7" "3" "45" "LASSO" 1e-04
"kappa" "7" "3" "45" "LASSO" 1e-04
"condnum" "7" "3" "45" "LASSO" 1e-04
"EL" "7" "3" "45" "LASSO" 1e-04
"RMSE" "7" "3" "45" "LASSO" 1e-04
"F1" "7" "3" "45" "LASSO" 1e-04
"eTPR" "7" "3" "45" "LASSO" 1e-04
"eTNR" "7" "3" "45" "LASSO" 1e-04
"ePPV" "7" "3" "45" "LASSO" 1e-04
"d" "7" "3" "45" "LASSO" 1e-04
"iters" "7" "3" "45" "LASSO" 1e-04
"time.user.self" "7" "3" "45" "LASSO" 1e-04
"time.sys.self" "7" "3" "45" "LASSO" 1e-04
"time.elapsed" "7" "3" "45" "LASSO" 1e-04
"time.user.child" "7" "3" "45" "LASSO" 1e-04
"time.sys.child" "7" "3" "45" "LASSO" 1e-04
"cv.iters" "7" "3" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "3" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "3" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "3" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "3" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "3" "45" "LASSO" 1e-04
"n.cv.par" "7" "3" "45" "LASSO" 1e-04
"lambda" "1" "4" "45" "LASSO" 1e-04
"lambdar0" "1" "4" "45" "LASSO" 1e-04
"kappa" "1" "4" "45" "LASSO" 1e-04
"condnum" "1" "4" "45" "LASSO" 1e-04
"EL" "1" "4" "45" "LASSO" 1e-04
"RMSE" "1" "4" "45" "LASSO" 1e-04
"F1" "1" "4" "45" "LASSO" 1e-04
"eTPR" "1" "4" "45" "LASSO" 1e-04
"eTNR" "1" "4" "45" "LASSO" 1e-04
"ePPV" "1" "4" "45" "LASSO" 1e-04
"d" "1" "4" "45" "LASSO" 1e-04
"iters" "1" "4" "45" "LASSO" 1e-04
"time.user.self" "1" "4" "45" "LASSO" 1e-04
"time.sys.self" "1" "4" "45" "LASSO" 1e-04
"time.elapsed" "1" "4" "45" "LASSO" 1e-04
"time.user.child" "1" "4" "45" "LASSO" 1e-04
"time.sys.child" "1" "4" "45" "LASSO" 1e-04
"cv.iters" "1" "4" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "4" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "4" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "4" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "4" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "4" "45" "LASSO" 1e-04
"n.cv.par" "1" "4" "45" "LASSO" 1e-04
"lambda" "7" "4" "45" "LASSO" 1e-04
"lambdar0" "7" "4" "45" "LASSO" 1e-04
"kappa" "7" "4" "45" "LASSO" 1e-04
"condnum" "7" "4" "45" "LASSO" 1e-04
"EL" "7" "4" "45" "LASSO" 1e-04
"RMSE" "7" "4" "45" "LASSO" 1e-04
"F1" "7" "4" "45" "LASSO" 1e-04
"eTPR" "7" "4" "45" "LASSO" 1e-04
"eTNR" "7" "4" "45" "LASSO" 1e-04
"ePPV" "7" "4" "45" "LASSO" 1e-04
"d" "7" "4" "45" "LASSO" 1e-04
"iters" "7" "4" "45" "LASSO" 1e-04
"time.user.self" "7" "4" "45" "LASSO" 1e-04
"time.sys.self" "7" "4" "45" "LASSO" 1e-04
"time.elapsed" "7" "4" "45" "LASSO" 1e-04
"time.user.child" "7" "4" "45" "LASSO" 1e-04
"time.sys.child" "7" "4" "45" "LASSO" 1e-04
"cv.iters" "7" "4" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "4" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "4" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "4" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "4" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "4" "45" "LASSO" 1e-04
"n.cv.par" "7" "4" "45" "LASSO" 1e-04
"lambda" "1" "5" "45" "LASSO" 1e-04
"lambdar0" "1" "5" "45" "LASSO" 1e-04
"kappa" "1" "5" "45" "LASSO" 1e-04
"condnum" "1" "5" "45" "LASSO" 1e-04
"EL" "1" "5" "45" "LASSO" 1e-04
"RMSE" "1" "5" "45" "LASSO" 1e-04
"F1" "1" "5" "45" "LASSO" 1e-04
"eTPR" "1" "5" "45" "LASSO" 1e-04
"eTNR" "1" "5" "45" "LASSO" 1e-04
"ePPV" "1" "5" "45" "LASSO" 1e-04
"d" "1" "5" "45" "LASSO" 1e-04
"iters" "1" "5" "45" "LASSO" 1e-04
"time.user.self" "1" "5" "45" "LASSO" 1e-04
"time.sys.self" "1" "5" "45" "LASSO" 1e-04
"time.elapsed" "1" "5" "45" "LASSO" 1e-04
"time.user.child" "1" "5" "45" "LASSO" 1e-04
"time.sys.child" "1" "5" "45" "LASSO" 1e-04
"cv.iters" "1" "5" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "5" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "5" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "5" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "5" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "5" "45" "LASSO" 1e-04
"n.cv.par" "1" "5" "45" "LASSO" 1e-04
"lambda" "7" "5" "45" "LASSO" 1e-04
"lambdar0" "7" "5" "45" "LASSO" 1e-04
"kappa" "7" "5" "45" "LASSO" 1e-04
"condnum" "7" "5" "45" "LASSO" 1e-04
"EL" "7" "5" "45" "LASSO" 1e-04
"RMSE" "7" "5" "45" "LASSO" 1e-04
"F1" "7" "5" "45" "LASSO" 1e-04
"eTPR" "7" "5" "45" "LASSO" 1e-04
"eTNR" "7" "5" "45" "LASSO" 1e-04
"ePPV" "7" "5" "45" "LASSO" 1e-04
"d" "7" "5" "45" "LASSO" 1e-04
"iters" "7" "5" "45" "LASSO" 1e-04
"time.user.self" "7" "5" "45" "LASSO" 1e-04
"time.sys.self" "7" "5" "45" "LASSO" 1e-04
"time.elapsed" "7" "5" "45" "LASSO" 1e-04
"time.user.child" "7" "5" "45" "LASSO" 1e-04
"time.sys.child" "7" "5" "45" "LASSO" 1e-04
"cv.iters" "7" "5" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "5" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "5" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "5" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "5" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "5" "45" "LASSO" 1e-04
"n.cv.par" "7" "5" "45" "LASSO" 1e-04
"lambda" "1" "6" "45" "LASSO" 1e-04
"lambdar0" "1" "6" "45" "LASSO" 1e-04
"kappa" "1" "6" "45" "LASSO" 1e-04
"condnum" "1" "6" "45" "LASSO" 1e-04
"EL" "1" "6" "45" "LASSO" 1e-04
"RMSE" "1" "6" "45" "LASSO" 1e-04
"F1" "1" "6" "45" "LASSO" 1e-04
"eTPR" "1" "6" "45" "LASSO" 1e-04
"eTNR" "1" "6" "45" "LASSO" 1e-04
"ePPV" "1" "6" "45" "LASSO" 1e-04
"d" "1" "6" "45" "LASSO" 1e-04
"iters" "1" "6" "45" "LASSO" 1e-04
"time.user.self" "1" "6" "45" "LASSO" 1e-04
"time.sys.self" "1" "6" "45" "LASSO" 1e-04
"time.elapsed" "1" "6" "45" "LASSO" 1e-04
"time.user.child" "1" "6" "45" "LASSO" 1e-04
"time.sys.child" "1" "6" "45" "LASSO" 1e-04
"cv.iters" "1" "6" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "6" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "6" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "6" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "6" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "6" "45" "LASSO" 1e-04
"n.cv.par" "1" "6" "45" "LASSO" 1e-04
"lambda" "7" "6" "45" "LASSO" 1e-04
"lambdar0" "7" "6" "45" "LASSO" 1e-04
"kappa" "7" "6" "45" "LASSO" 1e-04
"condnum" "7" "6" "45" "LASSO" 1e-04
"EL" "7" "6" "45" "LASSO" 1e-04
"RMSE" "7" "6" "45" "LASSO" 1e-04
"F1" "7" "6" "45" "LASSO" 1e-04
"eTPR" "7" "6" "45" "LASSO" 1e-04
"eTNR" "7" "6" "45" "LASSO" 1e-04
"ePPV" "7" "6" "45" "LASSO" 1e-04
"d" "7" "6" "45" "LASSO" 1e-04
"iters" "7" "6" "45" "LASSO" 1e-04
"time.user.self" "7" "6" "45" "LASSO" 1e-04
"time.sys.self" "7" "6" "45" "LASSO" 1e-04
"time.elapsed" "7" "6" "45" "LASSO" 1e-04
"time.user.child" "7" "6" "45" "LASSO" 1e-04
"time.sys.child" "7" "6" "45" "LASSO" 1e-04
"cv.iters" "7" "6" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "6" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "6" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "6" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "6" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "6" "45" "LASSO" 1e-04
"n.cv.par" "7" "6" "45" "LASSO" 1e-04
"lambda" "1" "7" "45" "LASSO" 1e-04
"lambdar0" "1" "7" "45" "LASSO" 1e-04
"kappa" "1" "7" "45" "LASSO" 1e-04
"condnum" "1" "7" "45" "LASSO" 1e-04
"EL" "1" "7" "45" "LASSO" 1e-04
"RMSE" "1" "7" "45" "LASSO" 1e-04
"F1" "1" "7" "45" "LASSO" 1e-04
"eTPR" "1" "7" "45" "LASSO" 1e-04
"eTNR" "1" "7" "45" "LASSO" 1e-04
"ePPV" "1" "7" "45" "LASSO" 1e-04
"d" "1" "7" "45" "LASSO" 1e-04
"iters" "1" "7" "45" "LASSO" 1e-04
"time.user.self" "1" "7" "45" "LASSO" 1e-04
"time.sys.self" "1" "7" "45" "LASSO" 1e-04
"time.elapsed" "1" "7" "45" "LASSO" 1e-04
"time.user.child" "1" "7" "45" "LASSO" 1e-04
"time.sys.child" "1" "7" "45" "LASSO" 1e-04
"cv.iters" "1" "7" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "7" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "7" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "7" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "7" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "7" "45" "LASSO" 1e-04
"n.cv.par" "1" "7" "45" "LASSO" 1e-04
"lambda" "7" "7" "45" "LASSO" 1e-04
"lambdar0" "7" "7" "45" "LASSO" 1e-04
"kappa" "7" "7" "45" "LASSO" 1e-04
"condnum" "7" "7" "45" "LASSO" 1e-04
"EL" "7" "7" "45" "LASSO" 1e-04
"RMSE" "7" "7" "45" "LASSO" 1e-04
"F1" "7" "7" "45" "LASSO" 1e-04
"eTPR" "7" "7" "45" "LASSO" 1e-04
"eTNR" "7" "7" "45" "LASSO" 1e-04
"ePPV" "7" "7" "45" "LASSO" 1e-04
"d" "7" "7" "45" "LASSO" 1e-04
"iters" "7" "7" "45" "LASSO" 1e-04
"time.user.self" "7" "7" "45" "LASSO" 1e-04
"time.sys.self" "7" "7" "45" "LASSO" 1e-04
"time.elapsed" "7" "7" "45" "LASSO" 1e-04
"time.user.child" "7" "7" "45" "LASSO" 1e-04
"time.sys.child" "7" "7" "45" "LASSO" 1e-04
"cv.iters" "7" "7" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "7" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "7" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "7" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "7" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "7" "45" "LASSO" 1e-04
"n.cv.par" "7" "7" "45" "LASSO" 1e-04
"lambda" "1" "8" "45" "LASSO" 1e-04
"lambdar0" "1" "8" "45" "LASSO" 1e-04
"kappa" "1" "8" "45" "LASSO" 1e-04
"condnum" "1" "8" "45" "LASSO" 1e-04
"EL" "1" "8" "45" "LASSO" 1e-04
"RMSE" "1" "8" "45" "LASSO" 1e-04
"F1" "1" "8" "45" "LASSO" 1e-04
"eTPR" "1" "8" "45" "LASSO" 1e-04
"eTNR" "1" "8" "45" "LASSO" 1e-04
"ePPV" "1" "8" "45" "LASSO" 1e-04
"d" "1" "8" "45" "LASSO" 1e-04
"iters" "1" "8" "45" "LASSO" 1e-04
"time.user.self" "1" "8" "45" "LASSO" 1e-04
"time.sys.self" "1" "8" "45" "LASSO" 1e-04
"time.elapsed" "1" "8" "45" "LASSO" 1e-04
"time.user.child" "1" "8" "45" "LASSO" 1e-04
"time.sys.child" "1" "8" "45" "LASSO" 1e-04
"cv.iters" "1" "8" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "8" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "8" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "8" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "8" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "8" "45" "LASSO" 1e-04
"n.cv.par" "1" "8" "45" "LASSO" 1e-04
"lambda" "7" "8" "45" "LASSO" 1e-04
"lambdar0" "7" "8" "45" "LASSO" 1e-04
"kappa" "7" "8" "45" "LASSO" 1e-04
"condnum" "7" "8" "45" "LASSO" 1e-04
"EL" "7" "8" "45" "LASSO" 1e-04
"RMSE" "7" "8" "45" "LASSO" 1e-04
"F1" "7" "8" "45" "LASSO" 1e-04
"eTPR" "7" "8" "45" "LASSO" 1e-04
"eTNR" "7" "8" "45" "LASSO" 1e-04
"ePPV" "7" "8" "45" "LASSO" 1e-04
"d" "7" "8" "45" "LASSO" 1e-04
"iters" "7" "8" "45" "LASSO" 1e-04
"time.user.self" "7" "8" "45" "LASSO" 1e-04
"time.sys.self" "7" "8" "45" "LASSO" 1e-04
"time.elapsed" "7" "8" "45" "LASSO" 1e-04
"time.user.child" "7" "8" "45" "LASSO" 1e-04
"time.sys.child" "7" "8" "45" "LASSO" 1e-04
"cv.iters" "7" "8" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "8" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "8" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "8" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "8" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "8" "45" "LASSO" 1e-04
"n.cv.par" "7" "8" "45" "LASSO" 1e-04
"lambda" "1" "9" "45" "LASSO" 1e-04
"lambdar0" "1" "9" "45" "LASSO" 1e-04
"kappa" "1" "9" "45" "LASSO" 1e-04
"condnum" "1" "9" "45" "LASSO" 1e-04
"EL" "1" "9" "45" "LASSO" 1e-04
"RMSE" "1" "9" "45" "LASSO" 1e-04
"F1" "1" "9" "45" "LASSO" 1e-04
"eTPR" "1" "9" "45" "LASSO" 1e-04
"eTNR" "1" "9" "45" "LASSO" 1e-04
"ePPV" "1" "9" "45" "LASSO" 1e-04
"d" "1" "9" "45" "LASSO" 1e-04
"iters" "1" "9" "45" "LASSO" 1e-04
"time.user.self" "1" "9" "45" "LASSO" 1e-04
"time.sys.self" "1" "9" "45" "LASSO" 1e-04
"time.elapsed" "1" "9" "45" "LASSO" 1e-04
"time.user.child" "1" "9" "45" "LASSO" 1e-04
"time.sys.child" "1" "9" "45" "LASSO" 1e-04
"cv.iters" "1" "9" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "9" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "9" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "9" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "9" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "9" "45" "LASSO" 1e-04
"n.cv.par" "1" "9" "45" "LASSO" 1e-04
"lambda" "7" "9" "45" "LASSO" 1e-04
"lambdar0" "7" "9" "45" "LASSO" 1e-04
"kappa" "7" "9" "45" "LASSO" 1e-04
"condnum" "7" "9" "45" "LASSO" 1e-04
"EL" "7" "9" "45" "LASSO" 1e-04
"RMSE" "7" "9" "45" "LASSO" 1e-04
"F1" "7" "9" "45" "LASSO" 1e-04
"eTPR" "7" "9" "45" "LASSO" 1e-04
"eTNR" "7" "9" "45" "LASSO" 1e-04
"ePPV" "7" "9" "45" "LASSO" 1e-04
"d" "7" "9" "45" "LASSO" 1e-04
"iters" "7" "9" "45" "LASSO" 1e-04
"time.user.self" "7" "9" "45" "LASSO" 1e-04
"time.sys.self" "7" "9" "45" "LASSO" 1e-04
"time.elapsed" "7" "9" "45" "LASSO" 1e-04
"time.user.child" "7" "9" "45" "LASSO" 1e-04
"time.sys.child" "7" "9" "45" "LASSO" 1e-04
"cv.iters" "7" "9" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "9" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "9" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "9" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "9" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "9" "45" "LASSO" 1e-04
"n.cv.par" "7" "9" "45" "LASSO" 1e-04
"lambda" "1" "10" "45" "LASSO" 1e-04
"lambdar0" "1" "10" "45" "LASSO" 1e-04
"kappa" "1" "10" "45" "LASSO" 1e-04
"condnum" "1" "10" "45" "LASSO" 1e-04
"EL" "1" "10" "45" "LASSO" 1e-04
"RMSE" "1" "10" "45" "LASSO" 1e-04
"F1" "1" "10" "45" "LASSO" 1e-04
"eTPR" "1" "10" "45" "LASSO" 1e-04
"eTNR" "1" "10" "45" "LASSO" 1e-04
"ePPV" "1" "10" "45" "LASSO" 1e-04
"d" "1" "10" "45" "LASSO" 1e-04
"iters" "1" "10" "45" "LASSO" 1e-04
"time.user.self" "1" "10" "45" "LASSO" 1e-04
"time.sys.self" "1" "10" "45" "LASSO" 1e-04
"time.elapsed" "1" "10" "45" "LASSO" 1e-04
"time.user.child" "1" "10" "45" "LASSO" 1e-04
"time.sys.child" "1" "10" "45" "LASSO" 1e-04
"cv.iters" "1" "10" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "10" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "10" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "10" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "10" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "10" "45" "LASSO" 1e-04
"n.cv.par" "1" "10" "45" "LASSO" 1e-04
"lambda" "7" "10" "45" "LASSO" 1e-04
"lambdar0" "7" "10" "45" "LASSO" 1e-04
"kappa" "7" "10" "45" "LASSO" 1e-04
"condnum" "7" "10" "45" "LASSO" 1e-04
"EL" "7" "10" "45" "LASSO" 1e-04
"RMSE" "7" "10" "45" "LASSO" 1e-04
"F1" "7" "10" "45" "LASSO" 1e-04
"eTPR" "7" "10" "45" "LASSO" 1e-04
"eTNR" "7" "10" "45" "LASSO" 1e-04
"ePPV" "7" "10" "45" "LASSO" 1e-04
"d" "7" "10" "45" "LASSO" 1e-04
"iters" "7" "10" "45" "LASSO" 1e-04
"time.user.self" "7" "10" "45" "LASSO" 1e-04
"time.sys.self" "7" "10" "45" "LASSO" 1e-04
"time.elapsed" "7" "10" "45" "LASSO" 1e-04
"time.user.child" "7" "10" "45" "LASSO" 1e-04
"time.sys.child" "7" "10" "45" "LASSO" 1e-04
"cv.iters" "7" "10" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "10" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "10" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "10" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "10" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "10" "45" "LASSO" 1e-04
"n.cv.par" "7" "10" "45" "LASSO" 1e-04
"lambda" "1" "1" "75" "LASSO" 0.292370352672186
"lambdar0" "1" "1" "75" "LASSO" 0.9
"kappa" "1" "1" "75" "LASSO" 0
"condnum" "1" "1" "75" "LASSO" 3.49973636952094
"EL" "1" "1" "75" "LASSO" 103.431828173278
"RMSE" "1" "1" "75" "LASSO" 0.00404440869749703
"F1" "1" "1" "75" "LASSO" 0.150943396226415
"eTPR" "1" "1" "75" "LASSO" 0.0816326530612245
"eTNR" "1" "1" "75" "LASSO" 1
"ePPV" "1" "1" "75" "LASSO" 1
"d" "1" "1" "75" "LASSO" 0.00326530612244898
"iters" "1" "1" "75" "LASSO" 5
"time.user.self" "1" "1" "75" "LASSO" 0.0500000000000114
"time.sys.self" "1" "1" "75" "LASSO" 0
"time.elapsed" "1" "1" "75" "LASSO" 0.0399999999999636
"time.user.child" "1" "1" "75" "LASSO" NA
"time.sys.child" "1" "1" "75" "LASSO" NA
"cv.iters" "1" "1" "75" "LASSO" NA
"cv.time.user.self" "1" "1" "75" "LASSO" 0.730199999999998
